MSH|^~\&|OERDB|QTE|NEON||201410241952||MFN^OT|01|P|2.3
QTE^10124F^Jan  1 1900 12:00AM^TETERBORO^86141^L^50.00
QTE^P14335^Jan  1 1900 12:00AM^TETERBORO^84439^L^837.26
QTE^P14336^Jan  1 1900 12:00AM^TETERBORO^80061^L^1552.13
QTE^P14337^Jan  1 1900 12:00AM^TETERBORO^84443^L^232.49
QTE^P14343^Jan  1 1900 12:00AM^TETERBORO^85307^L^2708.34
QTE^P14346^Jan  1 1900 12:00AM^TETERBORO^80074^L^1858.30
QTE^P14354^Jan  1 1900 12:00AM^TETERBORO^86003^L^209.72
QTE^P14361^Jan  1 1900 12:00AM^TETERBORO^84702^B^443.37
QTE^P14362^Jan  1 1900 12:00AM^TETERBORO^82947^L^1518.91
QTE^P14363^Jan  1 1900 12:00AM^TETERBORO^85025^L^1217.73
QTE^P14375^Jan  1 1900 12:00AM^TETERBORO^83090^F^1032.05
QTE^P14379^Jan  1 1900 12:00AM^TETERBORO^84439^L^1176.29
QTE^P14381^Jan  1 1900 12:00AM^TETERBORO^80061^L^1281.06
QTE^P14382^Jan  1 1900 12:00AM^TETERBORO^84702^B^312.83
QTE^P1439^Jan  1 1900 12:00AM^TETERBORO^80061^L^524.25
QTE^P14398^Jan  1 1900 12:00AM^TETERBORO^82728^L^513.60
QTE^P14400^Jan  1 1900 12:00AM^TETERBORO^82728^L^194.93
QTE^P14409^Jan  1 1900 12:00AM^TETERBORO^87491^L^556.75
QTE^P14414^Jan  1 1900 12:00AM^TETERBORO^86003^L^122.02
QTE^P14416^Jan  1 1900 12:00AM^TETERBORO^86003^L^489.33
QTE^P14417^Jan  1 1900 12:00AM^TETERBORO^84439^L^1425.95
QTE^P14418^Jan  1 1900 12:00AM^TETERBORO^82105^L^792.12
QTE^P14420^Jan  1 1900 12:00AM^TETERBORO^84439^L^1406.83
QTE^P14423^Jan  1 1900 12:00AM^TETERBORO^84439^L^387.96
QTE^P14426^Jan  1 1900 12:00AM^TETERBORO^85025^L^400.85
QTE^P14436^Jan  1 1900 12:00AM^TETERBORO^84443^L^232.49
QTE^P14455^Jan  1 1900 12:00AM^TETERBORO^85025^L^377.22
QTE^P14456^Jan  1 1900 12:00AM^TETERBORO^80061^L^1607.67
QTE^P14457^Jan  1 1900 12:00AM^TETERBORO^86003^L^279.61
QTE^P14458^Jan  1 1900 12:00AM^TETERBORO^84439^L^1053.92
QTE^P14459^Jan  1 1900 12:00AM^TETERBORO^80061^L^276.15
QTE^P14465^Jan  1 1900 12:00AM^TETERBORO^82465^L^1757.20
QTE^P14466^Jan  1 1900 12:00AM^TETERBORO^84443^L^770.62
QTE^P14470^Jan  1 1900 12:00AM^TETERBORO^85025^L^1892.87
QTE^P14476^Jan  1 1900 12:00AM^TETERBORO^80074^L^768.76
QTE^P14482^Jan  1 1900 12:00AM^TETERBORO^85025^L^906.21
QTE^P14483^Jan  1 1900 12:00AM^TETERBORO^85025^L^881.34
QTE^P14485^Jan  1 1900 12:00AM^TETERBORO^82306^L^564.05
QTE^P14489^Jan  1 1900 12:00AM^TETERBORO^86341^N^410.28
QTE^P14491^Jan  1 1900 12:00AM^TETERBORO^82947^L^206.66
QTE^P14502^Jan  1 1900 12:00AM^TETERBORO^85610^L^1248.69
QTE^P14503^Jan  1 1900 12:00AM^TETERBORO^85730^L^753.77
QTE^P14505^Jan  1 1900 12:00AM^TETERBORO^83036^L^433.51
QTE^P14510^Jan  1 1900 12:00AM^TETERBORO^85025^L^1586.57
QTE^P14512^Jan  1 1900 12:00AM^TETERBORO^85018^L^74.27
QTE^P14521^Jan  1 1900 12:00AM^TETERBORO^84443^L^562.19
QTE^P14522^Jan  1 1900 12:00AM^TETERBORO^85025^L^732.53
QTE^P14527^Jan  1 1900 12:00AM^TETERBORO^85025^L^798.44
QTE^P14528^Jan  1 1900 12:00AM^TETERBORO^85025^L^319.80
QTE^P14533^Jan  1 1900 12:00AM^TETERBORO^84443^L^823.24
QTE^P14534^Jan  1 1900 12:00AM^TETERBORO^84443^L^1319.66
QTE^P14535^Jan  1 1900 12:00AM^TETERBORO^80061^L^2114.38
QTE^P14536^Jan  1 1900 12:00AM^TETERBORO^84443^L^1962.89
QTE^P14540^Jan  1 1900 12:00AM^TETERBORO^82947^L^1092.47
QTE^P14548^Jan  1 1900 12:00AM^TETERBORO^84702^B^1291.56
QTE^P14549^Jan  1 1900 12:00AM^TETERBORO^84443^L^1046.07
QTE^P14551^Jan  1 1900 12:00AM^TETERBORO^80061^L^879.61
QTE^P14553^Jan  1 1900 12:00AM^TETERBORO^82306^L^596.40
QTE^P14555^Jan  1 1900 12:00AM^TETERBORO^80061^L^1131.85
QTE^P1456^Jan  1 1900 12:00AM^TETERBORO^84436^L^442.94
QTE^P14565^Jan  1 1900 12:00AM^TETERBORO^86003^L^481.87
QTE^P14568^Jan  1 1900 12:00AM^TETERBORO^82947^L^2248.55
QTE^P14577^Jan  1 1900 12:00AM^TETERBORO^87491^L^526.15
QTE^P14578^Jan  1 1900 12:00AM^TETERBORO^82465^L^85.14
QTE^P14582^Jan  1 1900 12:00AM^TETERBORO^80061^L^549.99
QTE^P14583^Jan  1 1900 12:00AM^TETERBORO^80061^L^693.04
QTE^P14586^Jan  1 1900 12:00AM^TETERBORO^83718^L^280.30
QTE^P14589^Jan  1 1900 12:00AM^TETERBORO^84439^L^1019.57
QTE^P14603^Jan  1 1900 12:00AM^TETERBORO^85025^L^854.96
QTE^P14607^Jan  1 1900 12:00AM^TETERBORO^82728^L^457.05
QTE^P14615^Jan  1 1900 12:00AM^TETERBORO^86141^L^571.86
QTE^P14621^Jan  1 1900 12:00AM^TETERBORO^82306^L^296.25
QTE^P14623^Jan  1 1900 12:00AM^TETERBORO^80074^L^912.86
QTE^P14625^Jan  1 1900 12:00AM^TETERBORO^84443^L^1097.12
QTE^P14627^Jan  1 1900 12:00AM^TETERBORO^80061^L^662.80
QTE^P14646^Jan  1 1900 12:00AM^TETERBORO^85307^L^903.21
QTE^P14647^Jan  1 1900 12:00AM^TETERBORO^83090^F^1714.01
QTE^P14648^Jan  1 1900 12:00AM^TETERBORO^80061^L^812.43
QTE^P14649^Jan  1 1900 12:00AM^TETERBORO^84153^L^600.78
QTE^P14654^Jan  1 1900 12:00AM^TETERBORO^86003^L^349.52
QTE^P14657^Jan  1 1900 12:00AM^TETERBORO^82306^L^959.40
QTE^P14661^Jan  1 1900 12:00AM^TETERBORO^82728^L^430.71
QTE^P14665^Jan  1 1900 12:00AM^TETERBORO^80061^L^1273.78
QTE^P14670^Jan  1 1900 12:00AM^TETERBORO^86003^L^209.72
QTE^P14671^Jan  1 1900 12:00AM^TETERBORO^82465^L^441.46
QTE^P14672^Jan  1 1900 12:00AM^TETERBORO^80061^L^1461.96
QTE^P14674^Jan  1 1900 12:00AM^TETERBORO^84439^L^1694.62
QTE^P14676^Jan  1 1900 12:00AM^TETERBORO^82947^L^756.09
QTE^P1468^Jan  1 1900 12:00AM^TETERBORO^85025^L^509.80
QTE^P14682^Jan  1 1900 12:00AM^TETERBORO^84153^L^946.57
QTE^P14683^Jan  1 1900 12:00AM^TETERBORO^82306^L^661.63
QTE^P14687^Jan  1 1900 12:00AM^TETERBORO^80061^L^1011.95
QTE^P14688^Jan  1 1900 12:00AM^TETERBORO^82465^L^723.57
QTE^P14689^Jan  1 1900 12:00AM^TETERBORO^82465^L^580.53
QTE^P1469^Jan  1 1900 12:00AM^TETERBORO^85025^L^530.51
QTE^P14694^Jan  1 1900 12:00AM^TETERBORO^84443^L^1365.18
QTE^P14695^Jan  1 1900 12:00AM^TETERBORO^80061^L^594.27
QTE^P14699^Jan  1 1900 12:00AM^TETERBORO^80061^L^462.60
QTE^P14700^Jan  1 1900 12:00AM^TETERBORO^82465^L^2365.54
QTE^P14701^Jan  1 1900 12:00AM^TETERBORO^85025^L^1119.16
QTE^P14703^Jan  1 1900 12:00AM^TETERBORO^84153^L^919.19
QTE^P14717^Jan  1 1900 12:00AM^TETERBORO^86701^B^846.81
QTE^P14720^Jan  1 1900 12:00AM^TETERBORO^80061^L^1396.96
QTE^P14725^Jan  1 1900 12:00AM^TETERBORO^80061^L^438.77
QTE^P14729^Jan  1 1900 12:00AM^TETERBORO^84439^L^1712.74
QTE^P1473^Jan  1 1900 12:00AM^TETERBORO^83540^L^394.20
QTE^P14730^Jan  1 1900 12:00AM^TETERBORO^80061^L^96.00
QTE^P14731^Jan  1 1900 12:00AM^TETERBORO^86141^L^387.28
QTE^P14737^Jan  1 1900 12:00AM^TETERBORO^87491^L^688.06
QTE^P14742^Jan  1 1900 12:00AM^TETERBORO^82465^L^323.29
QTE^P14743^Jan  1 1900 12:00AM^TETERBORO^82465^L^143.59
QTE^P14744^Jan  1 1900 12:00AM^TETERBORO^86003^L^1094.14
QTE^P14747^Jan  1 1900 12:00AM^TETERBORO^84443^L^1502.54
QTE^P14748^Jan  1 1900 12:00AM^TETERBORO^82465^L^1008.03
QTE^P14757^Jan  1 1900 12:00AM^TETERBORO^87491^L^246.60
QTE^P14758^Jan  1 1900 12:00AM^TETERBORO^82306^L^319.88
QTE^P14759^Jan  1 1900 12:00AM^TETERBORO^82105^L^792.12
QTE^P14762^Jan  1 1900 12:00AM^TETERBORO^86341^N^588.34
QTE^P14765^Jan  1 1900 12:00AM^TETERBORO^84443^L^1558.28
QTE^P14767^Jan  1 1900 12:00AM^TETERBORO^82378^L^769.76
QTE^P14768^Jan  1 1900 12:00AM^TETERBORO^85025^L^860.06
QTE^P14771^Jan  1 1900 12:00AM^TETERBORO^83718^L^439.34
QTE^P14786^Jan  1 1900 12:00AM^TETERBORO^82947^L^1425.02
QTE^P14788^Jan  1 1900 12:00AM^TETERBORO^86003^L^688.59
QTE^P1479^Jan  1 1900 12:00AM^TETERBORO^83540^L^406.57
QTE^P14794^Jan  1 1900 12:00AM^TETERBORO^82465^L^1259.27
QTE^P14795^Jan  1 1900 12:00AM^TETERBORO^84436^L^283.60
QTE^P14796^Jan  1 1900 12:00AM^TETERBORO^85025^L^376.91
QTE^P148^Jan  1 1900 12:00AM^TETERBORO^80061^L^241.20
QTE^P1480^Jan  1 1900 12:00AM^TETERBORO^83540^L^614.96
QTE^P14806^Jan  1 1900 12:00AM^TETERBORO^85025^L^1053.31
QTE^P14810^Jan  1 1900 12:00AM^TETERBORO^84443^L^1239.19
QTE^P14823^Jan  1 1900 12:00AM^TETERBORO^86003^L^419.42
QTE^P14827^Jan  1 1900 12:00AM^TETERBORO^84439^L^944.76
QTE^P14833^Jan  1 1900 12:00AM^TETERBORO^84439^L^1384.29
QTE^P14843^Jan  1 1900 12:00AM^TETERBORO^80061^L^124.38
QTE^P14845^Jan  1 1900 12:00AM^TETERBORO^84153^L^1448.15
QTE^P14847^Jan  1 1900 12:00AM^TETERBORO^84439^L^1592.55
QTE^P14859^Jan  1 1900 12:00AM^TETERBORO^85025^L^838.55
QTE^P14861^Jan  1 1900 12:00AM^TETERBORO^84439^L^2182.47
QTE^P14862^Jan  1 1900 12:00AM^TETERBORO^84153^L^2065.41
QTE^P14863^Jan  1 1900 12:00AM^TETERBORO^87491^L^359.54
QTE^P14869^Jan  1 1900 12:00AM^TETERBORO^84436^L^959.38
QTE^P14872^Jan  1 1900 12:00AM^TETERBORO^86003^L^430.05
QTE^P14873^Jan  1 1900 12:00AM^TETERBORO^86003^L^290.24
QTE^P14881^Jan  1 1900 12:00AM^TETERBORO^85025^L^790.60
QTE^P14885^Jan  1 1900 12:00AM^TETERBORO^85730^L^526.77
QTE^P14891^Jan  1 1900 12:00AM^TETERBORO^84443^L^1104.46
QTE^P14892^Jan  1 1900 12:00AM^TETERBORO^84443^L^938.10
QTE^P14895^Jan  1 1900 12:00AM^TETERBORO^84443^L^564.70
QTE^P14903^Jan  1 1900 12:00AM^TETERBORO^86003^L^594.18
QTE^P14908^Jan  1 1900 12:00AM^TETERBORO^80061^L^518.61
QTE^P14925^Jan  1 1900 12:00AM^TETERBORO^82977^L^55.97
QTE^P14927^Jan  1 1900 12:00AM^TETERBORO^80061^L^620.20
QTE^P14928^Jan  1 1900 12:00AM^TETERBORO^80061^L^763.25
QTE^P14936^Jan  1 1900 12:00AM^TETERBORO^84702^B^901.72
QTE^P14937^Jan  1 1900 12:00AM^TETERBORO^85027^L^761.62
QTE^P1494^Jan  1 1900 12:00AM^TETERBORO^84443^L^395.54
QTE^P14942^Jan  1 1900 12:00AM^TETERBORO^86003^L^209.72
QTE^P14944^Jan  1 1900 12:00AM^TETERBORO^G0434^L^1632.24
QTE^P14947^Jan  1 1900 12:00AM^TETERBORO^86648^N^726.72
QTE^P14948^Jan  1 1900 12:00AM^TETERBORO^82947^L^1758.45
QTE^P14950^Jan  1 1900 12:00AM^TETERBORO^84153^L^802.28
QTE^P14951^Jan  1 1900 12:00AM^TETERBORO^84443^L^1181.84
QTE^P14960^Jan  1 1900 12:00AM^TETERBORO^87491^L^551.27
QTE^P14962^Jan  1 1900 12:00AM^TETERBORO^84439^L^1616.62
QTE^P14965^Jan  1 1900 12:00AM^TETERBORO^84702^B^316.37
QTE^P14972^Jan  1 1900 12:00AM^TETERBORO^86003^L^779.57
QTE^P14973^Jan  1 1900 12:00AM^TETERBORO^86003^L^594.18
QTE^P14976^Jan  1 1900 12:00AM^TETERBORO^82728^L^284.48
QTE^P14981^Jan  1 1900 12:00AM^TETERBORO^82306^L^2855.95
QTE^P14982^Jan  1 1900 12:00AM^TETERBORO^86003^L^380.62
QTE^P14987^Jan  1 1900 12:00AM^TETERBORO^84153^L^483.43
QTE^P14988^Jan  1 1900 12:00AM^TETERBORO^84443^L^304.32
QTE^P14992^Jan  1 1900 12:00AM^TETERBORO^85730^L^341.94
QTE^P15007^Jan  1 1900 12:00AM^TETERBORO^80061^L^1433.85
QTE^P15010^Jan  1 1900 12:00AM^TETERBORO^85025^L^1363.08
QTE^P15018^Jan  1 1900 12:00AM^TETERBORO^82947^L^1104.53
QTE^P15020^Jan  1 1900 12:00AM^TETERBORO^82947^L^1625.64
QTE^P15030^Jan  1 1900 12:00AM^TETERBORO^84443^L^1694.79
QTE^P15035^Jan  1 1900 12:00AM^TETERBORO^85610^L^1043.01
QTE^P15037^Jan  1 1900 12:00AM^TETERBORO^84443^L^980.22
QTE^P15040^Jan  1 1900 12:00AM^TETERBORO^85307^L^1415.67
QTE^P15043^Jan  1 1900 12:00AM^TETERBORO^87086^L^159.43
QTE^P15045^Jan  1 1900 12:00AM^TETERBORO^85025^L^323.29
QTE^P15046^Jan  1 1900 12:00AM^TETERBORO^82947^L^355.64
QTE^P15049^Jan  1 1900 12:00AM^TETERBORO^82306^L^1005.09
QTE^P1505^Jan  1 1900 12:00AM^TETERBORO^84443^L^373.46
QTE^P15052^Jan  1 1900 12:00AM^TETERBORO^82947^L^2286.79
QTE^P15053^Jan  1 1900 12:00AM^TETERBORO^80061^L^694.46
QTE^P15060^Jan  1 1900 12:00AM^TETERBORO^G0434^L^343.30
QTE^P15064^Jan  1 1900 12:00AM^TETERBORO^82947^L^736.68
QTE^P15066^Jan  1 1900 12:00AM^TETERBORO^82105^L^506.30
QTE^P15068^Jan  1 1900 12:00AM^TETERBORO^84443^L^392.98
QTE^P15069^Jan  1 1900 12:00AM^TETERBORO^85610^L^477.52
QTE^P15076^Jan  1 1900 12:00AM^TETERBORO^85025^L^1210.04
QTE^P15078^Jan  1 1900 12:00AM^TETERBORO^85025^L^198.16
QTE^P15083^Jan  1 1900 12:00AM^TETERBORO^86003^L^988.83
QTE^P15084^Jan  1 1900 12:00AM^TETERBORO^86003^L^669.07
QTE^P15088^Jan  1 1900 12:00AM^TETERBORO^85025^L^957.34
QTE^P15090^Jan  1 1900 12:00AM^TETERBORO^82728^L^714.10
QTE^P15091^Jan  1 1900 12:00AM^TETERBORO^82728^L^594.00
QTE^P15092^Jan  1 1900 12:00AM^TETERBORO^86003^L^723.14
QTE^P15093^Jan  1 1900 12:00AM^TETERBORO^86003^L^243.03
QTE^P15094^Jan  1 1900 12:00AM^TETERBORO^86003^L^621.17
QTE^P15095^Jan  1 1900 12:00AM^TETERBORO^86003^L^888.73
QTE^P15098^Jan  1 1900 12:00AM^TETERBORO^86003^L^700.56
QTE^P15099^Jan  1 1900 12:00AM^TETERBORO^86003^L^332.91
QTE^P15101^Jan  1 1900 12:00AM^TETERBORO^80074^L^1042.41
QTE^P15105^Jan  1 1900 12:00AM^TETERBORO^85610^L^433.98
QTE^P15106^Jan  1 1900 12:00AM^TETERBORO^80074^L^705.82
QTE^P15107^Jan  1 1900 12:00AM^TETERBORO^82947^L^1230.18
QTE^P15110^Jan  1 1900 12:00AM^TETERBORO^84443^L^984.63
QTE^P15111^Jan  1 1900 12:00AM^TETERBORO^84443^L^741.94
QTE^P15112^Jan  1 1900 12:00AM^TETERBORO^85025^L^1066.35
QTE^P15116^Jan  1 1900 12:00AM^TETERBORO^84436^L^442.87
QTE^P15119^Jan  1 1900 12:00AM^TETERBORO^84443^L^522.54
QTE^P15123^Jan  1 1900 12:00AM^TETERBORO^84702^B^1190.49
QTE^P15135^Jan  1 1900 12:00AM^TETERBORO^84443^L^610.73
QTE^P15139^Jan  1 1900 12:00AM^TETERBORO^82306^L^328.59
QTE^P15140^Jan  1 1900 12:00AM^TETERBORO^87491^L^273.64
QTE^P15144^Jan  1 1900 12:00AM^TETERBORO^87491^L^427.87
QTE^P15155^Jan  1 1900 12:00AM^TETERBORO^87491^L^273.64
QTE^P15158^Jan  1 1900 12:00AM^TETERBORO^87491^L^262.66
QTE^P15159^Jan  1 1900 12:00AM^TETERBORO^87591^L^262.66
QTE^P1516^Jan  1 1900 12:00AM^TETERBORO^84439^L^271.03
QTE^P15162^Jan  1 1900 12:00AM^TETERBORO^80061^L^299.41
QTE^P15165^Jan  1 1900 12:00AM^TETERBORO^85025^L^2267.51
QTE^P15168^Jan  1 1900 12:00AM^TETERBORO^83036^L^805.57
QTE^P15175^Jan  1 1900 12:00AM^TETERBORO^84436^L^723.54
QTE^P15177^Jan  1 1900 12:00AM^TETERBORO^85025^L^1942.02
QTE^P15178^Jan  1 1900 12:00AM^TETERBORO^85025^L^441.33
QTE^P15180^Jan  1 1900 12:00AM^TETERBORO^84439^L^367.12
QTE^P15186^Jan  1 1900 12:00AM^TETERBORO^82306^L^1384.59
QTE^P15188^Jan  1 1900 12:00AM^TETERBORO^82947^L^1230.34
QTE^P15189^Jan  1 1900 12:00AM^TETERBORO^82105^L^846.71
QTE^P15193^Jan  1 1900 12:00AM^TETERBORO^85025^L^264.47
QTE^P15198^Jan  1 1900 12:00AM^TETERBORO^82306^L^668.80
QTE^P15202^Jan  1 1900 12:00AM^TETERBORO^85025^L^91.22
QTE^P15203^Jan  1 1900 12:00AM^TETERBORO^84443^L^3395.93
QTE^P15209^Jan  1 1900 12:00AM^TETERBORO^85025^L^425.39
QTE^P15211^Jan  1 1900 12:00AM^TETERBORO^82306^L^729.87
QTE^P15212^Jan  1 1900 12:00AM^TETERBORO^82306^L^1066.01
QTE^P15214^Jan  1 1900 12:00AM^TETERBORO^87491^L^177.87
QTE^P15216^Jan  1 1900 12:00AM^TETERBORO^87491^L^314.69
QTE^P15217^Jan  1 1900 12:00AM^TETERBORO^87491^L^376.89
QTE^P15218^Jan  1 1900 12:00AM^TETERBORO^84436^L^1512.62
QTE^P15219^Jan  1 1900 12:00AM^TETERBORO^85025^L^592.72
QTE^P15222^Jan  1 1900 12:00AM^TETERBORO^84443^L^768.52
QTE^P15224^Jan  1 1900 12:00AM^TETERBORO^86003^L^779.57
QTE^P15235^Jan  1 1900 12:00AM^TETERBORO^80061^L^1222.90
QTE^P15239^Jan  1 1900 12:00AM^TETERBORO^84436^L^313.66
QTE^P15240^Jan  1 1900 12:00AM^TETERBORO^86003^L^868.45
QTE^P15241^Jan  1 1900 12:00AM^TETERBORO^86003^L^802.81
QTE^P15243^Jan  1 1900 12:00AM^TETERBORO^84443^L^884.14
QTE^P15244^Jan  1 1900 12:00AM^TETERBORO^82465^L^1532.13
QTE^P15247^Jan  1 1900 12:00AM^TETERBORO^86003^L^669.19
QTE^P15251^Jan  1 1900 12:00AM^TETERBORO^84436^L^1379.35
QTE^P15255^Jan  1 1900 12:00AM^TETERBORO^80074^L^1412.78
QTE^P15258^Jan  1 1900 12:00AM^TETERBORO^80061^L^285.98
QTE^P15262^Jan  1 1900 12:00AM^TETERBORO^82306^L^497.69
QTE^P15263^Jan  1 1900 12:00AM^TETERBORO^87491^L^582.10
QTE^P15266^Jan  1 1900 12:00AM^TETERBORO^84443^L^930.52
QTE^P15279^Jan  1 1900 12:00AM^TETERBORO^86003^L^351.88
QTE^P15289^Jan  1 1900 12:00AM^TETERBORO^85025^L^425.40
QTE^P15291^Jan  1 1900 12:00AM^TETERBORO^82728^L^509.80
QTE^P153^Jan  1 1900 12:00AM^TETERBORO^80061^L^404.47
QTE^P15300^Jan  1 1900 12:00AM^TETERBORO^82947^L^2122.17
QTE^P15301^Jan  1 1900 12:00AM^TETERBORO^85025^L^2200.30
QTE^P15314^Jan  1 1900 12:00AM^TETERBORO^85025^L^85.40
QTE^P15319^Jan  1 1900 12:00AM^TETERBORO^85730^L^1608.29
QTE^P15328^Jan  1 1900 12:00AM^TETERBORO^85730^L^1363.13
QTE^P15329^Jan  1 1900 12:00AM^TETERBORO^80061^L^690.64
QTE^P15330^Jan  1 1900 12:00AM^TETERBORO^82947^L^602.40
QTE^P15331^Jan  1 1900 12:00AM^TETERBORO^80061^L^507.56
QTE^P15334^Jan  1 1900 12:00AM^TETERBORO^80061^L^372.74
QTE^P15345^Jan  1 1900 12:00AM^TETERBORO^86003^L^594.18
QTE^P15355^Jan  1 1900 12:00AM^TETERBORO^86003^L^709.68
QTE^P15356^Jan  1 1900 12:00AM^TETERBORO^86003^L^699.04
QTE^P15358^Jan  1 1900 12:00AM^TETERBORO^86003^L^360.15
QTE^P15367^Jan  1 1900 12:00AM^TETERBORO^80061^L^519.22
QTE^P15368^Jan  1 1900 12:00AM^TETERBORO^80061^L^191.44
QTE^P15370^Jan  1 1900 12:00AM^TETERBORO^86003^L^870.23
QTE^P15371^Jan  1 1900 12:00AM^TETERBORO^86003^L^803.90
QTE^P15372^Jan  1 1900 12:00AM^TETERBORO^86003^L^295.30
QTE^P15373^Jan  1 1900 12:00AM^TETERBORO^86003^L^849.48
QTE^P15374^Jan  1 1900 12:00AM^TETERBORO^86003^L^1122.38
QTE^P15378^Jan  1 1900 12:00AM^TETERBORO^84702^B^881.99
QTE^P15381^Jan  1 1900 12:00AM^TETERBORO^86003^L^629.14
QTE^P15390^Jan  1 1900 12:00AM^TETERBORO^80061^L^421.04
QTE^P15398^Jan  1 1900 12:00AM^TETERBORO^84702^B^1532.93
QTE^P15402^Jan  1 1900 12:00AM^TETERBORO^80061^L^459.38
QTE^P15403^Jan  1 1900 12:00AM^TETERBORO^86003^L^639.77
QTE^P15409^Jan  1 1900 12:00AM^TETERBORO^85025^L^1859.18
QTE^P15415^Jan  1 1900 12:00AM^TETERBORO^80061^L^395.92
QTE^P15419^Jan  1 1900 12:00AM^TETERBORO^86003^L^1059.19
QTE^P15422^Jan  1 1900 12:00AM^TETERBORO^86003^L^1024.24
QTE^P15423^Jan  1 1900 12:00AM^TETERBORO^84443^L^673.73
QTE^P15434^Jan  1 1900 12:00AM^TETERBORO^82947^L^2352.67
QTE^P15440^Jan  1 1900 12:00AM^TETERBORO^80061^L^408.16
QTE^P15444^Jan  1 1900 12:00AM^TETERBORO^80061^L^501.48
QTE^P15447^Jan  1 1900 12:00AM^TETERBORO^82465^L^1040.07
QTE^P15448^Jan  1 1900 12:00AM^TETERBORO^82105^L^1022.05
QTE^P15449^Jan  1 1900 12:00AM^TETERBORO^86003^L^499.96
QTE^P15451^Jan  1 1900 12:00AM^TETERBORO^84443^L^1068.45
QTE^P15456^Jan  1 1900 12:00AM^TETERBORO^87491^L^625.04
QTE^P15457^Jan  1 1900 12:00AM^TETERBORO^80061^L^283.60
QTE^P15462^Jan  1 1900 12:00AM^TETERBORO^85025^L^834.09
QTE^P1547300^Jan  1 1900 12:00AM^TETERBORO^80061^L^276.76
QTE^P15474^Jan  1 1900 12:00AM^TETERBORO^80061^L^197.95
QTE^P1547400^Jan  1 1900 12:00AM^TETERBORO^80061^L^197.95
QTE^P15475^Jan  1 1900 12:00AM^TETERBORO^80061^L^238.04
QTE^P1547500^Jan  1 1900 12:00AM^TETERBORO^80061^L^238.04
QTE^P15476^Jan  1 1900 12:00AM^TETERBORO^80061^L^411.32
QTE^P15477^Jan  1 1900 12:00AM^TETERBORO^80061^L^184.61
QTE^P15478^Jan  1 1900 12:00AM^TETERBORO^80061^L^427.02
QTE^P15479^Jan  1 1900 12:00AM^TETERBORO^80061^L^283.98
QTE^P15480^Jan  1 1900 12:00AM^TETERBORO^80061^L^928.98
QTE^P15481^Jan  1 1900 12:00AM^TETERBORO^82947^L^2111.98
QTE^P15482^Jan  1 1900 12:00AM^TETERBORO^80061^L^348.48
QTE^P15485^Jan  1 1900 12:00AM^TETERBORO^86003^L^594.18
QTE^P15490^Jan  1 1900 12:00AM^TETERBORO^84443^L^393.28
QTE^P15492^Jan  1 1900 12:00AM^TETERBORO^85025^L^437.90
QTE^P15494^Jan  1 1900 12:00AM^TETERBORO^86003^L^619.32
QTE^P15497^Jan  1 1900 12:00AM^TETERBORO^80061^L^506.14
QTE^P15499^Jan  1 1900 12:00AM^TETERBORO^84443^L^581.98
QTE^P15500^Jan  1 1900 12:00AM^TETERBORO^80061^L^513.64
QTE^P15501^Jan  1 1900 12:00AM^TETERBORO^83090^F^2520.96
QTE^P15506^Jan  1 1900 12:00AM^TETERBORO^80074^L^1321.18
QTE^P15507^Jan  1 1900 12:00AM^TETERBORO^84443^L^1452.25
QTE^P15508^Jan  1 1900 12:00AM^TETERBORO^86648^N^1159.57
QTE^P15513^Jan  1 1900 12:00AM^TETERBORO^82465^L^1262.10
QTE^P15517^Jan  1 1900 12:00AM^TETERBORO^80074^L^713.64
QTE^P15520^Jan  1 1900 12:00AM^TETERBORO^80061^L^469.42
QTE^P15524^Jan  1 1900 12:00AM^TETERBORO^85025^L^1843.44
QTE^P15527^Jan  1 1900 12:00AM^TETERBORO^83540^L^57.22
QTE^P15529^Jan  1 1900 12:00AM^TETERBORO^82728^L^2501.26
QTE^P1553^Jan  1 1900 12:00AM^TETERBORO^85025^L^551.77
QTE^P15531^Jan  1 1900 12:00AM^TETERBORO^87491^L^314.69
QTE^P15539^Jan  1 1900 12:00AM^TETERBORO^86003^L^814.53
QTE^P15540^Jan  1 1900 12:00AM^TETERBORO^86003^L^613.22
QTE^P15547^Jan  1 1900 12:00AM^TETERBORO^85025^L^173.17
QTE^P15548^Jan  1 1900 12:00AM^TETERBORO^80074^L^1909.56
QTE^P1555^Jan  1 1900 12:00AM^TETERBORO^85025^L^927.05
QTE^P15551^Jan  1 1900 12:00AM^TETERBORO^85025^L^1118.72
QTE^P15562^Jan  1 1900 12:00AM^TETERBORO^85025^L^316.52
QTE^P15563^Jan  1 1900 12:00AM^TETERBORO^85025^L^470.51
QTE^P15567^Jan  1 1900 12:00AM^TETERBORO^82523^L^2462.98
QTE^P15568^Jan  1 1900 12:00AM^TETERBORO^80061^L^47.27
QTE^P15571^Jan  1 1900 12:00AM^TETERBORO^80061^L^44.78
QTE^P15573^Jan  1 1900 12:00AM^TETERBORO^80061^L^44.25
QTE^P15577^Jan  1 1900 12:00AM^TETERBORO^80061^L^56.21
QTE^P15580^Jan  1 1900 12:00AM^TETERBORO^84443^L^1043.02
QTE^P15583^Jan  1 1900 12:00AM^TETERBORO^86774^N^1085.31
QTE^P15588^Jan  1 1900 12:00AM^TETERBORO^80061^L^774.80
